Name,Chr:bp,Genomic size (bp),Class,Source Study,Study description
nsv531623,19:10315258-14048994,"3,733,737",CNV,DGVa:nstd101,"Database of Genomic Variants Archive: Kaminsky 2011 ""An evidence-based approach to establish the functional and clinical significance of copy number variants in intellectual and developmental disabilities."" PMID:21844811"
nsv995068,19:10319474-13777860,"3,458,387",CNV,DGVa:nstd37,"Database of Genomic Variants Archive: Miller 2010 ""Consensus statement: chromosomal microarray is a first-tier clinical diagnostic test for individuals with developmental disabilities or congenital anomalies."" PMID:20466091"
nsv491973,19:11227942-44626354,"33,398,413",CNV,DGVa:nstd37,"Database of Genomic Variants Archive: Miller 2010 ""Consensus statement: chromosomal microarray is a first-tier clinical diagnostic test for individuals with developmental disabilities or congenital anomalies."" PMID:20466091"
nsv2777526,19:11497257-14432234,"2,934,978",CNV,DGVa:nstd37,"Database of Genomic Variants Archive: Miller 2010 ""Consensus statement: chromosomal microarray is a first-tier clinical diagnostic test for individuals with developmental disabilities or congenital anomalies."" PMID:20466091"
nsv532613,19:11517825-13225287,"1,707,463",CNV,DGVa:nstd101,"Database of Genomic Variants Archive: Kaminsky 2011 ""An evidence-based approach to establish the functional and clinical significance of copy number variants in intellectual and developmental disabilities."" PMID:21844811"
nsv534271,19:11525163-14155021,"2,629,859",CNV,DGVa:nstd37,"Database of Genomic Variants Archive: Miller 2010 ""Consensus statement: chromosomal microarray is a first-tier clinical diagnostic test for individuals with developmental disabilities or congenital anomalies."" PMID:20466091"
nsv2776917,19:12093817-13386259,"1,292,443",CNV,DGVa:nstd37,"Database of Genomic Variants Archive: Miller 2010 ""Consensus statement: chromosomal microarray is a first-tier clinical diagnostic test for individuals with developmental disabilities or congenital anomalies."" PMID:20466091"
nsv531624,19:12132052-14751798,"2,619,747",CNV,DGVa:nstd101,"Database of Genomic Variants Archive: Kaminsky 2011 ""An evidence-based approach to establish the functional and clinical significance of copy number variants in intellectual and developmental disabilities."" PMID:21844811"
esv1914060,19:12364954-14043634,-,tandem duplication,DGVa:estd192,Database of Genomic Variants Archive: Catalogue of Somatic Mutations in Cancer (COSMIC) version 61
nsv2777082,19:12463529-14615385,"2,151,857",CNV,DGVa:nstd37,"Database of Genomic Variants Archive: Miller 2010 ""Consensus statement: chromosomal microarray is a first-tier clinical diagnostic test for individuals with developmental disabilities or congenital anomalies."" PMID:20466091"
nsv533228,19:12580427-14742673,"2,162,247",CNV,DGVa:nstd37,"Database of Genomic Variants Archive: Miller 2010 ""Consensus statement: chromosomal microarray is a first-tier clinical diagnostic test for individuals with developmental disabilities or congenital anomalies."" PMID:20466091"
nsv1190498,19:12813596-14732085,"1,918,490",CNV,DGVa:nstd113,"Database of Genomic Variants Archive: Polyak 2015 ""Copy Number Variant calls for 8,373 individuals (16,828 calls) with intellectual disability/developmental delay and/or autism from Signature Genomics Laboratories LLC. Please note that this study may contain samples in common with [nstd54|/dbvar/studies/nstd54/] and [nstd100|/dbvar/studies/nstd100/]. Due to differences in the analysis please use samplesets from only one of these submissions."""
nsv1064142,19:12813596-14732085,"1,918,490",CNV,DGVa:nstd100,"Database of Genomic Variants Archive: Coe 2014 ""Refining analyses of copy number variation identifies specific genes associated with developmental delay."" PMID:25217958"
nsv543909,19:12813596-14732085,"1,918,490",CNV,DGVa:nstd54,"Database of Genomic Variants Archive: Cooper 2011 ""A copy number variation morbidity map of developmental delay."" PMID:21841781"
nsv531625,19:12850595-13290954,"440,360",CNV,DGVa:nstd101,"Database of Genomic Variants Archive: Kaminsky 2011 ""An evidence-based approach to establish the functional and clinical significance of copy number variants in intellectual and developmental disabilities."" PMID:21844811"
nsv1195738,19:12872094-13236135,"364,042",CNV,DGVa:nstd113,"Database of Genomic Variants Archive: Polyak 2015 ""Copy Number Variant calls for 8,373 individuals (16,828 calls) with intellectual disability/developmental delay and/or autism from Signature Genomics Laboratories LLC. Please note that this study may contain samples in common with [nstd54|/dbvar/studies/nstd54/] and [nstd100|/dbvar/studies/nstd100/]. Due to differences in the analysis please use samplesets from only one of these submissions."""
nsv1062162,19:12872094-13236135,"364,042",CNV,DGVa:nstd100,"Database of Genomic Variants Archive: Coe 2014 ""Refining analyses of copy number variation identifies specific genes associated with developmental delay."" PMID:25217958"
nsv543911,19:12872094-13236135,"364,042",CNV,DGVa:nstd54,"Database of Genomic Variants Archive: Cooper 2011 ""A copy number variation morbidity map of developmental delay."" PMID:21841781"
nsv869398,19:12974394-13408586,"434,193",CNV,DGVa:nstd37,"Database of Genomic Variants Archive: Miller 2010 ""Consensus statement: chromosomal microarray is a first-tier clinical diagnostic test for individuals with developmental disabilities or congenital anomalies."" PMID:20466091"
nsv1187885,19:12978320-13462355,"484,036",CNV,DGVa:nstd113,"Database of Genomic Variants Archive: Polyak 2015 ""Copy Number Variant calls for 8,373 individuals (16,828 calls) with intellectual disability/developmental delay and/or autism from Signature Genomics Laboratories LLC. Please note that this study may contain samples in common with [nstd54|/dbvar/studies/nstd54/] and [nstd100|/dbvar/studies/nstd100/]. Due to differences in the analysis please use samplesets from only one of these submissions."""
nsv1065388,19:12978320-13462355,"484,036",CNV,DGVa:nstd100,"Database of Genomic Variants Archive: Coe 2014 ""Refining analyses of copy number variation identifies specific genes associated with developmental delay."" PMID:25217958"
nsv543914,19:12978320-13462355,"484,036",CNV,DGVa:nstd54,"Database of Genomic Variants Archive: Cooper 2011 ""A copy number variation morbidity map of developmental delay."" PMID:21841781"
nsv533873,19:12978943-13236134,"257,192",CNV,DGVa:nstd37,"Database of Genomic Variants Archive: Miller 2010 ""Consensus statement: chromosomal microarray is a first-tier clinical diagnostic test for individuals with developmental disabilities or congenital anomalies."" PMID:20466091"
nsv498531,19:13034666-13283686,"249,021",CNV,DGVa:nstd37,"Database of Genomic Variants Archive: Miller 2010 ""Consensus statement: chromosomal microarray is a first-tier clinical diagnostic test for individuals with developmental disabilities or congenital anomalies."" PMID:20466091"
nsv2775205,19:13069769-13208334,"138,566",CNV,DGVa:nstd37,"Database of Genomic Variants Archive: Miller 2010 ""Consensus statement: chromosomal microarray is a first-tier clinical diagnostic test for individuals with developmental disabilities or congenital anomalies."" PMID:20466091"
nsv1191064,19:13117066-15370444,"2,253,379",CNV,DGVa:nstd113,"Database of Genomic Variants Archive: Polyak 2015 ""Copy Number Variant calls for 8,373 individuals (16,828 calls) with intellectual disability/developmental delay and/or autism from Signature Genomics Laboratories LLC. Please note that this study may contain samples in common with [nstd54|/dbvar/studies/nstd54/] and [nstd100|/dbvar/studies/nstd100/]. Due to differences in the analysis please use samplesets from only one of these submissions."""
nsv1058976,19:13117066-15370444,"2,253,379",CNV,DGVa:nstd100,"Database of Genomic Variants Archive: Coe 2014 ""Refining analyses of copy number variation identifies specific genes associated with developmental delay."" PMID:25217958"
esv3412446,19:13183187-13209643,"26,457",CNV,DGVa:estd59,Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Pilot Project. PMID:20981092
esv3386277,19:13187187-13209643,"22,457",CNV,DGVa:estd59,Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Pilot Project. PMID:20981092
nsv1066365,19:13198839-13259676,"60,838",CNV,DGVa:nstd100,"Database of Genomic Variants Archive: Coe 2014 ""Refining analyses of copy number variation identifies specific genes associated with developmental delay."" PMID:25217958"
esv3365416,19:13200361-13640601,"440,241",CNV,DGVa:estd59,Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Pilot Project. PMID:20981092
nsv1067873,19:13204242-13243808,"39,567",CNV,DGVa:nstd51,"Database of Genomic Variants Archive: User submitted curated variants from PubMed, OMIM, LSDBs, GeneReviews, or dbSNP"
esv3420771,19:13205338-13209736,"4,399",CNV,DGVa:estd59,Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Pilot Project. PMID:20981092
nsv1197512,19:13206442-13224666,"18,225",CNV,DGVa:nstd51,"Database of Genomic Variants Archive: User submitted curated variants from PubMed, OMIM, LSDBs, GeneReviews, or dbSNP"
nsv1940798,19:13206453-13206477,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv2962832,19:13206461-13206461,-,insertion,DGVa:estd209,"Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
esv3384414,19:13206588-13209786,"3,199",CNV,DGVa:estd59,Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Pilot Project. PMID:20981092
esv3219655,19:13206676-13206679,4,CNV,DGVa:estd209,"Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
nsv134710,19:13206677-13206679,3,CNV,DGVa:nstd6,"Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
esv2110600,19:13206677-13206680,4,CNV,DGVa:estd194,"Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
esv1243514,19:13206684-13206687,4,CNV,DGVa:estd22,"Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
nsv1940799,19:13207859-13207898,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv136435,19:13207882-13207887,6,CNV,DGVa:nstd6,"Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
nsv1072861,19:13207885-13208786,902,CNV,DGVa:nstd99,"Database of Genomic Variants Archive: Thareja 2015 ""Sequence and analysis of a whole genome from Kuwaiti population subgroup of Persian ancestry."" PMID:25765185"
nsv1940800,19:13208157-13208202,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1940801,19:13208880-13208908,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1940802,19:13209253-13209275,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1941490,19:13211437-13211452,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1940099,19:13211716-13211734,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv3219656,19:13212008-13212009,2,CNV,DGVa:estd209,"Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
esv2245420,19:13212009-13212010,2,CNV,DGVa:estd194,"Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
esv1510865,19:13212010-13212011,2,CNV,DGVa:estd22,"Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
